,lat,lon,intensity
0,20.08327740001127,-72.87491429998073,45.3735660409987
1,20.08327740001127,-72.83324759998072,45.550194435462465
2,20.041610700011276,-72.91658099998074,45.11337871459536
3,20.041610700011276,-72.87491429998073,45.3649293871402
4,20.041610700011276,-72.83324759998072,45.53340264701204
5,20.041610700011276,-72.79158089998072,45.67480809144189
6,20.041610700011276,-72.74991419998071,45.907403095919456
7,20.041610700011276,-72.7082474999807,46.189923374122394
8,19.999944000011283,-72.7082474999807,45.84870688348221
9,19.999944000011283,-72.6665807999807,46.01639139774757
10,19.916610600011296,-73.16658119998078,43.06310119007071
11,19.916610600011296,-73.12491449998078,43.30768535343705
12,19.916610600011296,-72.99991439998075,43.91047077602261
13,19.916610600011296,-72.95824769998075,44.031447885477625
14,19.916610600011296,-72.91658099998074,44.403466758537895
15,19.916610600011296,-72.87491429998073,44.699254553511985
16,19.916610600011296,-72.83324759998072,44.991277462212366
17,19.916610600011296,-72.79158089998072,45.19261820810793
18,19.916610600011296,-72.74991419998071,45.245642893910436
19,19.916610600011296,-72.7082474999807,45.263966478083425
20,19.916610600011296,-72.6665807999807,45.28955757556895
21,19.874943900011303,-73.2499145999808,42.31610915906171
22,19.874943900011303,-73.20824789998079,42.475849801810405
23,19.874943900011303,-73.16658119998078,42.64881334938475
24,19.874943900011303,-73.12491449998078,42.86937723313907
25,19.874943900011303,-73.08324779998077,43.085514113208745
26,19.874943900011303,-73.04158109998076,43.405467939735885
27,19.874943900011303,-72.99991439998075,43.6510368596623
28,19.874943900011303,-72.95824769998075,43.9838877135553
29,19.874943900011303,-72.91658099998074,44.24064826492176
30,19.874943900011303,-72.87491429998073,44.50593959860826
31,19.874943900011303,-72.83324759998072,44.518218008773154
32,19.874943900011303,-72.79158089998072,44.485868009719
33,19.874943900011303,-72.74991419998071,44.766694875269415
34,19.874943900011303,-72.7082474999807,45.03905326805932
35,19.874943900011303,-72.6665807999807,45.16704057494523
36,19.874943900011303,-72.62491409998069,45.16370230406153
