,intensity,return_period
15177,34.80420258039842,6.63235294117647
15169,34.72864877510019,6.53623188405797
15172,34.5770741240736,6.442857142857141
14840,34.551404460611,6.352112676056336
14839,33.81452310049729,6.263888888888887
16134,33.46263458884867,6.1780821917808195
14401,33.094528369237466,6.094594594594592
14846,32.8863793606459,6.013333333333331
15178,32.66949892870563,5.934210526315787
10874,32.50539390419925,5.857142857142854
14399,32.21594376835682,5.782051282051278
11927,32.07200172434379,5.708860759493668
14403,32.05753304163959,5.637499999999996
15176,31.90785908736958,5.567901234567897
15175,31.411752660965828,5.499999999999996
13975,31.359469832197327,5.433734939759032
12475,31.15877573705762,5.369047619047614
13970,30.917063799588966,5.305882352941172
14180,30.915892430112834,5.244186046511623
11934,30.818872723521213,5.183908045977006
12987,30.73452497455258,5.124999999999995
14414,30.63509316742133,5.067415730337073
15835,30.631597972657254,5.011111111111106
14408,30.548822997118325,4.95604395604395
14097,30.54326628971523,4.902173913043472
13639,30.516429373498514,4.849462365591392
16605,30.33135397568106,4.797872340425526
14420,30.226628244309456,4.7473684210526255
12481,30.021130421965463,4.697916666666661
14841,29.80398731686529,4.649484536082468
16022,29.63459839264942,4.602040816326524
14418,29.46044530324217,4.555555555555549
13728,29.446382835008375,4.509999999999994
15170,29.38848249897048,4.465346534653459
11052,29.27399895862334,4.421568627450974
10918,29.2105691261311,4.378640776699022
12811,29.107414411070433,4.336538461538455
16025,29.098460567978435,4.295238095238089
15831,29.076182976163427,4.254716981132069
15171,29.052525559445495,4.214953271028031
13980,29.035333188228527,4.175925925925919
12982,28.95990940704822,4.137614678899076
13060,28.958809947803807,4.099999999999993
14179,28.797147393410725,4.063063063063056
14100,28.63662094344374,4.026785714285707
10921,28.512150769883355,3.991150442477869
13977,28.460732720040223,3.9561403508771864
14410,28.36021039889803,3.9217391304347764
15975,28.221411789772247,3.8879310344827527
12984,28.178241387223945,3.8547008547008494
11926,27.9250809270643,3.8220338983050794
13729,27.892478574660515,3.78991596638655
13978,27.831323014527143,3.758333333333329
13974,27.82575781799026,3.727272727272723
16608,27.780590720199218,3.696721311475406
11048,27.75194521153136,3.6666666666666634
12246,27.53392790384821,3.6370967741935454
14411,27.27802332477739,3.607999999999997
13583,27.19407500421946,3.579365079365077
13971,27.16271309946424,3.5511811023622024
16599,26.913079796044553,3.523437499999998
14327,26.899541376998343,3.49612403100775
16024,26.66239411407559,3.4692307692307676
13972,26.49133952022386,3.442748091603052
14423,26.166798261853675,3.4166666666666656
16607,26.128516432233305,3.390977443609022
15316,26.108814346955334,3.365671641791044
14402,26.064600018715645,3.34074074074074
14848,25.865654247712417,3.316176470588235
16606,25.83945978850574,3.291970802919708
12187,25.809524328263706,3.268115942028986
13973,25.647699147210535,3.244604316546763
14419,25.603352883762142,3.221428571428572
14415,25.4108638952672,3.1985815602836887
12479,25.26418672338007,3.17605633802817
14404,25.257190591313016,3.153846153846155
14317,25.20281105570797,3.1319444444444455
10875,25.152022958357495,3.1103448275862084
16600,24.965717320269547,3.0890410958904124
14421,24.92751312590932,3.0680272108843556
14095,24.857817858849128,3.047297297297299
11051,24.61757644773346,3.026845637583895
11924,24.591975859295534,3.0066666666666686
11929,24.556101287442136,2.9867549668874194
14417,24.54155718878138,2.967105263157897
14101,24.45536605505403,2.947712418300656
16601,24.430473365414166,2.928571428571431
12223,24.39362459687072,2.9096774193548414
13979,24.28296813984576,2.891025641025644
12484,24.20351611615413,2.872611464968156
11928,24.192780455876143,2.8544303797468387
13503,24.173471314663114,2.836477987421387
15275,24.11029779269884,2.818750000000003
12423,23.830235722562875,2.8012422360248483
14094,23.820963124359487,2.783950617283954
13549,23.577078279261144,2.7668711656441753
13629,23.51468898969507,2.7500000000000036
12307,23.457012611116127,2.733333333333337
14709,23.420453190280394,2.716867469879522
16017,23.418327709580762,2.7005988023952137
13740,23.38945681039296,2.6845238095238138
14958,23.373694803346737,2.668639053254442
14322,23.339138983586725,2.6529411764705926
14099,23.31359012265957,2.6374269005847997
14321,23.265152367395146,2.622093023255818
14091,23.18223220954901,2.6069364161849755
10306,22.860875993378713,2.59195402298851
14187,22.768910964968956,2.577142857142862
15317,22.708144040796416,2.5625000000000044
12482,22.656318228737483,2.548022598870061
14319,22.649065219465182,2.533707865168544
13636,22.563401572352152,2.5195530726257034
14843,22.41756855990416,2.5055555555555604
14388,22.37106651173475,2.4917127071823253
14949,22.322022351300554,2.478021978021983
12248,22.313726103250705,2.464480874316945
12247,22.306845213223024,2.451086956521744
14313,22.201322067364362,2.437837837837843
14320,22.006578313781556,2.4247311827957043
15319,21.89340327881098,2.411764705882358
13575,21.883177224303115,2.3989361702127714
13633,21.783870436218603,2.386243386243392
16609,21.716140715953017,2.373684210526321
16016,21.674833814926757,2.3612565445026235
14331,21.67481321953352,2.348958333333339
14908,21.649562644942105,2.336787564766845
13543,21.648736062120427,2.3247422680412426
11150,21.599126797833733,2.3128205128205184
14312,21.56745857057488,2.301020408163271
13064,21.501766712256092,2.2893401015228485
13638,21.341558789170723,2.2777777777777835
14959,21.28704240182361,2.266331658291463
13501,21.268719993591645,2.2550000000000057
14311,21.230416690941833,2.243781094527369
11277,21.18857006659842,2.2326732673267387
14915,21.186981832512647,2.2216748768472967
14950,21.14773269012987,2.210784313725496
13737,21.059319446097234,2.200000000000006
13733,20.97132491566904,2.1893203883495205
12183,20.887487137299743,2.178743961352663
16023,20.8591190685248,2.168269230769237
14844,20.858895703437558,2.1578947368421115
10796,20.855039643886517,2.1476190476190538
11931,20.76885684338679,2.137440758293845
14318,20.62638475616316,2.127358490566044
15278,20.571123505888714,2.1173708920187857
14093,20.521243098958955,2.107476635514025
16559,20.465888300518085,2.097674418604657
12480,20.32296263416036,2.087962962962969
14427,20.240440994916963,2.078341013824891
13429,20.17557503659029,2.0688073394495476
15487,20.167627290855506,2.0593607305936135
14316,20.07025470182733,2.0500000000000065
16555,20.025967943496624,2.040723981900459
14329,19.978418458315787,2.031531531531538
14398,19.94766240377805,2.0224215246636836
13268,19.810454357519653,2.0133928571428634
11932,19.80053322547602,2.004444444444451
13498,19.78984268211711,1.9955752212389444
14412,19.73363656082139,1.9867841409691693
13500,19.728149425396044,1.9780701754386028
13505,19.684836742314193,1.9694323144104866
11933,19.64723799229136,1.9608695652173975
13275,19.61178112431224,1.9523809523809588
14391,19.588987744567042,1.9439655172413857
13497,19.587443837913668,1.9356223175965728
14315,19.539180975554682,1.9273504273504336
11148,19.41111805632266,1.9191489361702192
14098,19.388940423573494,1.9110169491525488
13630,19.329611162770668,1.9029535864978966
13736,19.291296766278915,1.8949579831932837
14847,19.27775065573209,1.8870292887029352
13744,19.22187306477786,1.879166666666673
14911,19.219543301043785,1.8713692946058156
14956,19.209488952659118,1.86363636363637
13548,19.15797119600385,1.855967078189307
14325,19.048544799182874,1.8483606557377115
14912,18.977749794040136,1.8408163265306188
11046,18.939496201145214,1.83333333333334
10297,18.8833492452843,1.8259109311740955
16083,18.660154524034194,1.8185483870967807
11930,18.657184019550783,1.8112449799196852
14332,18.638380198551946,1.8040000000000065
15991,18.558016767871916,1.7968127490039907
14428,18.534606959260245,1.7896825396825462
12249,18.5002476125325,1.7826086956521805
11322,18.480062799125005,1.775590551181109
14910,18.37751291866725,1.7686274509803988
11325,18.304092251472817,1.7617187500000064
13607,18.267066671362556,1.7548638132295786
14907,18.214237886957115,1.7480620155038826
11151,18.20026192822639,1.7413127413127478
13532,18.19959567005412,1.734615384615391
14389,17.93132653441243,1.7279693486590104
14330,17.864106130413433,1.7213740458015332
14328,17.66704596679564,1.7148288973384096
