,intensity,return_period
10302,83.6026009312839,451.0
15976,76.89887531070379,225.5
13617,70.41376224160179,150.33333333333334
10296,69.68887800632406,112.75
15837,68.97216446146888,90.2
10305,68.23571791150049,75.16666666666667
15838,67.83780319310046,64.42857142857144
15980,67.36360869687822,56.375000000000014
15833,66.89953763425224,50.11111111111112
15829,66.5382092473448,45.10000000000001
14708,65.95782630852736,41.00000000000001
15832,65.41030763382571,37.58333333333334
14182,64.4126868466243,34.6923076923077
15836,63.90093975421969,32.21428571428572
13732,61.647656951813964,30.066666666666677
11147,60.51974757870062,28.187500000000007
11144,58.015125632093074,26.529411764705884
13735,57.46222131191517,25.055555555555557
13616,57.41440269538751,23.736842105263158
11152,57.2130818503682,22.549999999999997
15834,56.78124075994484,21.476190476190474
13734,53.58355868148604,20.499999999999996
11149,53.03651156575184,19.60869565217391
11145,51.92088285221464,18.79166666666666
11146,51.75157118431498,18.039999999999996
13579,51.12950326233027,17.34615384615384
14430,51.07246382519089,16.7037037037037
14189,50.91143580479132,16.10714285714285
11047,49.92906677506809,15.551724137931028
15982,49.49992451826496,15.033333333333328
14422,49.1976481617913,14.54838709677419
14425,48.766920674126375,14.093749999999996
15974,48.525685780516326,13.666666666666664
11049,48.048199559641205,13.26470588235294
11045,47.94970591848181,12.885714285714286
12478,47.47196281515879,12.527777777777779
14426,47.32272697530665,12.18918918918919
11153,46.11104338780873,11.86842105263158
11054,44.893169048411295,11.564102564102566
10301,44.54733380909464,11.275000000000002
11143,44.52664556558599,11.000000000000004
13059,42.05386693471716,10.73809523809524
13730,41.80735675340789,10.48837209302326
11044,41.154038724665,10.250000000000004
10299,41.117261990286615,10.022222222222226
14405,40.884386037711536,9.80434782608696
11050,40.76560801323358,9.595744680851068
14409,40.485067922322465,9.395833333333337
12474,38.93484383608282,9.204081632653066
15830,38.592487255455275,9.020000000000005
12483,38.072497174500754,8.843137254901967
13584,37.9355375486674,8.673076923076929
14842,37.42439692211932,8.509433962264156
13745,37.23359615049143,8.351851851851858
15270,37.04740822253366,8.200000000000006
12476,36.75999016498907,8.053571428571434
15174,36.67762442396039,7.9122807017543915
14431,36.55397448626275,7.775862068965522
14400,36.52253925036063,7.644067796610174
15173,36.3228547310569,7.51666666666667
14407,36.19225882354502,7.393442622950823
14845,36.03596806246469,7.2741935483871
15179,35.908052092973975,7.158730158730161
13582,35.88833437778863,7.046875000000002
14416,35.0460561651322,6.93846153846154
15972,34.953368879386865,6.833333333333334
10869,34.820345732844046,6.731343283582089
